Model,Accuracy,Precision,Recall,F1 Score,R2 Score
Linear Regression,,,,,0.9678055545167994
Random Forest,0.7297297297297297,0.7241379310344828,0.9130434782608695,0.8076923076923077,
SVM,0.8878048780487805,0.8508771929824561,0.941747572815534,0.8940092165898618,
